p,dp,time
64,1024,0.192928
64,1024,0.163186
64,1024,0.246715
64,1024,0.406472
64,1024,0.302296
64,1024,0.372710
64,1024,0.496886
64,1024,0.400632
64,1024,0.410295
64,1024,0.501717
64,1024,0.331928
64,1024,0.250985
64,4096,0.472462
64,4096,0.311968
64,4096,0.382477
64,4096,0.358268
64,4096,0.191851
64,4096,0.264616
64,4096,0.432650
64,4096,0.225671
64,4096,0.351305
64,4096,0.434964
64,4096,0.350848
64,4096,0.316617
64,4096,0.474944
64,4096,0.444669
64,4096,0.379781
64,16384,0.596615
64,16384,0.455529
64,16384,0.356287
64,16384,0.617191
64,16384,0.457742
64,16384,0.432881
64,16384,0.491825
64,16384,0.422237
64,16384,0.309505
64,16384,0.558074
64,16384,0.404716
64,16384,0.387079
64,16384,0.529847
64,16384,0.246291
64,16384,0.277001
64,65536,1.228172
64,65536,0.747133
64,65536,0.560713
64,65536,0.947680
64,65536,0.451028
64,65536,0.427452
64,65536,1.064873
64,65536,0.507286
64,65536,0.428469
64,65536,1.117364
64,65536,0.635325
64,65536,0.497405
64,65536,1.188281
64,65536,0.476657
64,65536,0.421308
64,262144,3.447764
64,262144,1.277733
64,262144,0.322097
64,262144,3.802020
64,262144,1.601299
64,262144,0.724450
64,262144,3.726780
64,262144,1.418379
64,262144,1.391880
64,262144,2.936214
64,262144,1.442496
64,262144,1.252326
64,262144,2.936096
64,262144,1.068928
64,262144,1.207676
64,1048576,12.614284
64,1048576,6.169855
64,1048576,4.368191
64,1048576,12.416370
64,1048576,4.117490
64,1048576,3.474957
64,1048576,11.096967
64,1048576,4.696675
64,1048576,1.799826
64,1048576,7.767233
64,1048576,2.758648
64,1048576,2.632050
64,1048576,9.398859
64,1048576,1.505883
64,1048576,0.810234
